Date,New
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,1
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,1
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,2
1/23/2020,0
1/24/2020,1
1/25/2020,1
1/26/2020,2
1/27/2020,0
1/28/2020,6
1/29/2020,0
1/30/2020,0
1/31/2020,5
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,6
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,7
2/9/2020,0
2/10/2020,0
2/11/2020,1
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,1
2/16/2020,0
2/17/2020,1
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,2
2/26/2020,3
2/27/2020,0
2/28/2020,1
2/29/2020,1
3/1/2020,0
3/2/2020,1
3/3/2020,0
3/4/2020,0
3/5/2020,4
3/6/2020,1
3/7/2020,2
3/8/2020,0
3/9/2020,0
3/10/2020,3
3/11/2020,6
3/12/2020,11
3/13/2020,5
3/14/2020,7
3/15/2020,32
3/16/2020,33
3/17/2020,30
3/18/2020,35
3/19/2020,60
3/20/2020,50
3/21/2020,89
3/22/2020,188
3/23/2020,122
3/24/2020,106
3/25/2020,107
3/26/2020,111
3/27/2020,91
3/28/2020,109
3/29/2020,143
3/30/2020,136
3/31/2020,127
4/1/2020,120
4/2/2020,104
4/3/2020,103
4/4/2020,89
4/5/2020,102
4/6/2020,51
4/7/2020,38
4/8/2020,111
4/9/2020,54
4/10/2020,50
4/11/2020,45
4/12/2020,33
4/13/2020,28
4/14/2020,34
4/15/2020,30
4/16/2020,29
4/17/2020,28
4/18/2020,33
4/19/2020,32
4/20/2020,27
4/21/2020,19
4/22/2020,15
4/23/2020,13
4/24/2020,15
4/25/2020,53
4/26/2020,15
4/27/2020,9
4/28/2020,7
4/29/2020,9
4/30/2020,7
5/1/2020,6
5/2/2020,6
5/3/2020,3
5/4/2020,18
5/5/2020,1
5/6/2020,1
5/7/2020,3
5/8/2020,8
5/9/2020,4
5/10/2020,5
5/11/2020,6
5/12/2020,2
5/13/2020,0
5/14/2020,1
5/15/2020,7
5/16/2020,0
5/17/2020,3
5/18/2020,3
5/19/2020,2
5/20/2020,1
5/21/2020,3
5/22/2020,0
5/23/2020,3
5/24/2020,0
